"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24"
"2",0.319682693657377,479,2,0.250712089002173,479,2,0.141330842746205,477,2,0.331849755909235,474,2,0.169203274244301,472,2,0.792030829729157,469,2,0.263888671640122,470,2,0.880752263007345,469,2
"3",0.526633570670862,479,3,0.4359494181205,479,3,0.331799342961229,477,3,0.428269681581077,474,3,0.356295013273674,472,3,0.403460623218506,469,3,0.419979849977706,470,3,0.456478541144333,469,3
"4",0.482358699603136,479,4,0.12443752495226,479,4,0.416053572040982,469,3,0.462647247103875,474,4,0.558306805940031,472,4,0.311854163273602,469,4,0.628255582559006,470,4,0.590771035935077,469,4
"5",0.564578239639139,479,5,0.14670127733656,479,5,0.566895501421324,469,4,0.566172334794806,474,5,0.7210003579356,472,5,0.463073715512191,469,5,0.700039266453201,470,5,0.593354639374831,469,5
"6",0.425942096353834,479,6,0.233651418868319,479,6,0.573682894168812,469,5,0.403506094791398,474,6,0.405138738120514,472,6,0.50155961049238,469,6,0.739445199383482,470,6,0.604594942445528,469,6
"7",0.551592348500958,479,7,0.23324055917249,478,6,0.711546214284287,469,6,0.0188536521379482,474,7,0.507432430688685,472,7,0.626455355736162,469,7,0.160771287632669,470,7,0.70032426580337,469,7
"8",0.667340936949401,479,8,0.306738408516933,478,7,0.20058056783941,469,7,0.0237861189269556,472,7,0.766358524447656,469,7,0.717514087207647,469,8,0.235205386064073,470,8,0.727173109611163,462,7
"9",0.558858597396584,479,9,0.412589510949882,478,8,0.223859729221995,469,8,0.0414208357008591,472,8,0.710921286565953,469,8,0.89258610068203,461,8,0.307018688219301,470,9,0.797867558311566,462,8
"10",0.247128323111314,479,10,0.514258709555476,478,9,0.0449507942491979,469,9,0.0236259018561618,472,9,0.730728382084567,469,9,0.939133594936897,461,9,0.342684653087644,470,10,0.797867558311566,462,8
"11",0.240912362562012,468,9,0.459955815515005,471,9,0.0704264698207999,469,10,0.0228444924266882,472,10,0.710842307431815,469,10,0.910686545241253,461,10,0.348865110408563,468,10,0.836985551593279,462,9
"12",0.243070334694976,459,9,0.317019714532533,470,9,0.102494591122644,469,11,0.0364340473936509,472,11,0.662267240686195,469,11,0.891057012299303,461,11,0.428673947972525,468,11,0.615890654988562,462,10
"13",0.288861705729087,459,10,0.404913769989322,470,10,0.144720345089291,469,12,0.0543197364388176,472,12,0.734983273532814,469,12,0.886334776575874,457,11,0.329620688586484,457,10,0.703719726332494,462,11
"14",0.212160147512151,459,11,0.211232124516672,470,11,0.144720345089291,469,12,0.0667060197350549,466,12,0.723729895166096,463,12,0.0841314274817571,457,12,0.0215677537322588,457,11,0.573985659351269,462,12
"15",0.239965144567501,459,12,0.235783012071656,470,12,0.180763881876842,469,13,0.0920510369275544,466,13,0.732624139069997,459,12,0.0955123750808591,448,12,0.033039479604987,457,12,0.607551425399516,455,12
